year,simulation_id,facility_energy_mwh,it_energy_mwh,annual_pue,facility_peak_mw,facility_peak_to_mean,raw_evap_m3,arrival_cv,terminal_backlog_work_units,first_backlog_start_work_units,first_it_mw,last_it_mw,january_it_scale_jump_pct
2012,13,152999.99999999997,143605.05876283714,1.0654220771754184,22.1307535992638,1.2705656184047927,5304.676764861567,0.172293505447075,0.0,0.0,15.830150724728135,15.709663846919604,126.96403229953438
2013,13,224000.00000000003,210017.64031704274,1.0665770725823294,32.47546339012085,1.2700225861493688,9521.527423155412,0.1727554882693093,0.0,0.0,21.706205704427028,24.839974936986383,38.17103864181819
2014,13,262000.0,243080.1887445579,1.0778336208851806,38.005636042884674,1.2707227928842357,9910.263555815523,0.17225376092622582,12.598513893302876,0.0,26.993253006959414,25.992296889348715,8.668600010408339
2015,13,284000.0,266689.7811470041,1.0649076945451248,41.0821667986774,1.2671823280155423,12950.848437447306,0.17140734925698964,0.0,12.598513893302876,29.93297304088223,30.847889078297488,15.160938520782867
2016,13,327000.0,306852.7110473567,1.0656578489526003,47.25256994580697,1.2693167412965396,8865.838177703581,0.16900333541094634,0.0,0.0,34.43872850092499,32.59141246971446,11.640470482480353
2017,13,425999.99999999994,398874.7297957245,1.0680044840598628,61.80099005358844,1.2708372602568891,21250.386060396995,0.1711806491843797,0.0,0.0,40.22504449789821,39.48264708459742,23.422219074663584
2018,13,487999.99999999994,451395.63195763924,1.081091542431664,70.75804403302965,1.2701648887896306,17704.49933368744,0.17593035851239636,0.0,0.0,42.338398065137845,45.35458677099845,7.2329268461194065
2019,13,573000.0,538944.1959153814,1.0631898522012575,82.66863337848571,1.263834604529729,12922.108036197438,0.17385445994461654,0.0,0.0,56.109639489894704,59.71776619358485,23.713263607052564
2020,13,686000.0,644754.4902379076,1.0639708763360038,98.76843350058483,1.2646966761940774,27277.23294154068,0.17013396138092984,0.0,0.0,73.57704477717229,77.8262549723133,23.20796551341243
2021,13,898408.9999999998,844724.8166508614,1.0635522744104804,130.05136618329388,1.268074972273936,51900.20418958452,0.1746970422030525,35.52993659282366,0.0,93.12854085603506,97.32155893091507,19.66211259833273
2022,13,982177.0,927402.7090055656,1.059062034715391,142.8574594206818,1.2741403479466253,52465.943100583056,0.17259732289966978,0.0,35.52993659282366,106.05935277443979,101.35745787872473,8.978271556179392
2023,13,1375321.0,1288118.2520423874,1.0676977814881108,198.70682841631216,1.2656476683820683,53170.79127137532,0.17679124204248964,8.250274491772856,0.0,114.43647578673264,146.68315121935962,12.903853531584323
2024,13,1728291.0000000002,1635939.334941737,1.0564517663251567,250.10723630280316,1.2711643835927067,86534.1467153254,0.17176710631363198,0.0,8.250274491772856,178.51563955146764,177.60330857175066,21.701530180861493
2011,14,71000.0,66790.66858677201,1.0630227470737081,9.731813749586173,1.2007139217799279,2011.0301310116051,0.16296223317881764,2.614056289036686,17.162552134818885,6.844090105759296,7.460373927570174,
2012,14,153000.0,144548.65965106824,1.0584670959200368,20.868653175052536,1.198106205814781,5207.595857409498,0.15947893997495918,0.0,2.614056289036686,14.459703416856634,17.258417443870528,93.82008941160574
2013,14,223999.99999999997,208926.0368673303,1.0721497586355968,30.643674023809808,1.198386537716848,9354.179384507794,0.1609551367999294,8.357544424304841,0.0,25.357297438941426,23.766013933309008,46.92713003037995
2014,14,262000.0,246367.78256925786,1.0634507372178328,35.855660238574664,1.1988381056866948,9750.526693869502,0.16299209714936763,0.0,8.357544424304841,25.68920750921797,25.468989247592933,8.092200826380603
2015,14,284000.0,269086.01501289767,1.055424600889747,38.835383370948136,1.1978801349630483,12688.911923725853,0.16164620298176147,0.8023134363336659,0.0,29.279394017489174,31.444476638124115,14.960957943222507
2016,14,327000.00000000006,310123.9793146511,1.0544170132301398,44.700671177522025,1.2007666532824264,8814.646870817327,0.16187730931713373,0.0,0.8023134363336659,32.21991555570849,35.01310232821296,2.46605763711205
2017,14,426000.0000000001,393687.96153704193,1.0820752515184997,58.14345997331708,1.195626078324548,20358.700128487624,0.16462061126263244,0.0,0.0,35.49606521639812,42.32971195915321,1.3793775931588903
2018,14,488000.0,458064.9676676458,1.065351062502719,66.67630490643678,1.19689432577948,17804.519503694,0.16458726671703344,0.0,0.0,51.02501473654072,48.04871876411093,20.541842537880232
2019,14,573000.0,539879.8334862919,1.0613472933408783,78.31247537924057,1.1972378434941489,12628.629220232931,0.16155804533242615,0.0,0.0,55.95467016840833,58.41161766102604,16.454031673790638
2020,14,685999.9999999998,644506.0349279557,1.0643810341926159,93.47958596392861,1.196974756715961,26745.24031745675,0.16507608716255243,14.757055651824114,0.0,71.95101672663725,79.37818649868348,23.179291394021934
